Date,Stock_Volume,Catch_Volume
2023-01-31,20946,3832
2023-02-28,20972,3244
2023-03-31,20974,2333
2023-04-30,21032,5740
2023-05-31,21313,5596
2023-06-30,21177,6351
2023-07-31,21295,6374
2023-08-31,21184,4471
2023-09-30,21187,5377
2023-10-31,21346,6168
2023-11-30,21402,5777
2023-12-31,21344,3190
2024-01-31,21323,4053
2024-02-29,21441,2698
2024-03-31,21418,6228
2024-04-30,21489,4754
2024-05-31,21544,3139
2024-06-30,21529,5045
2024-07-31,21793,4873
2024-08-31,21907,3759
2024-09-30,21754,2669
2024-10-31,21823,5113
2024-11-30,21807,4449
2024-12-31,21942,5583
